GEOCOD;MUN;casos;Obitos;acima de 60 anos
1;Porto da Pedra;1;;2126
3;Luiz Caçador;1;;611
4;Cruzeiro do Sul;0;;626
5;Boa Vista;4;;1958
7;Camarão;1;;664
8;Venda da Cruz;0;;1109
9;Morro do Castro;0;;558
10;Parada Quarenta;0;;411
12;Pedro Alcântara;0;;1849
13;Várzea das Moças;0;;336
14;Engenho do Roçado;0;;656
15;Jardim Nova República;0;;681
16;Jockey;2;;952
17;Largo da Ideia;0;;267
18;Covanca;1;;2012
20;Pita;1;;1990
21;Eliane;0;;401
23;Rosane;0;;266
24;São Miguel;0;;647
27;Jardim Catarina;2;;7892
29;Porto da Rosa;1;;2381
30;Itaoca;0;;383
31;Vila Três;0;;525
32;Jardim Amendoeira;0;;104
33;Anaia Pequeno;0;;543
34;Arsenal;0;;1192
35;Lindo Parque;1;;1023
38;Barracão;0;;371
39;Rio do Ouro;1;;1252
40;Colubandê;5;1;3457
41;Porto da Madame;2;;1213
42;Tenente Jardim;0;;428
43;Sacramento;1;;1357
45;Lagoinha;0;;934
46;Ipiíba;0;;141
47;Bom Retiro;0;;1832
48;Vila Lage;0;;1163
50;Engenho Pequeno;0;;1633
55;Raul Veiga;0;;1519
56;Almerinda;2;;1585
57;Guaxindiba;0;;374
58;Palmeiras;0;;764
59;Vila Candosa;0;;147
60;Pacheco;0;;1554
61;Anaia Grande;0;;138
62;Guarani;0;;191
63;Marambaia;0;;1966
64;Gebara;0;;82
65;Vista Alegre;1;;2079
67;Coelho;2;1;2364
69;Laranjal;0;;2311
70;Monjolos;0;;829
72;Recanto das Acácias;0;;355
73;Mangueira;0;;630
74;Arrastão;0;;458
76;Ieda;0;;438
77;Zumbi;0;;481
78;Mutuaguaçu;0;;786
79;Salgueiro;0;;999
81;Paraiso;1;;1117
84;Vila Yara;0;;490
85;Patronato;0;;556
86;Novo México;1;;478
87;Miriambi;0;;888
89;Santa Isabel;2;;1463
90;Tiradentes;0;;317
92;Gradim;1;;2079
53;Trindade;6;;4450
68;Jardim Alcântra;3;;1849
88;Amendoeira;3;1;1611
6;Antonina;1;;1076
36;Barro Vermelho;4;;2102
83;Boaçu;3;;3338
22;Brasilândia;3;;1176
82;Centro;3;;938
26;Estrela do Norte;1;;1278
80;Fazenda dos Mineiros;1;;515
19;Galo Branco;4;;1742
71;Itaúna;3;;2061
11;Maria Paula;1;;1602
54;Mutondo;4;;3309
25;Mutuá;3;;2237
52;Mutuapira;1;;1032
37;Neves;4;;1829
28;Nova Cidade;4;;1651
2;Porto Novo;5;1;2226
91;Porto Velho;5;;1666
51;Rocha;4;;3438
49;Santa Catarina;2;;2210
44;Santa Luzia;2;1;1699
75;Tribobó;3;;2047
66;Zé Garoto;2;;836
